School Year,County,Institution ID,BEDS Code,School Name,Affliation,PreK,HalfK,FullK,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,HS
2019-20,NEW YORK,800000069335,310300996043,LANG SCHOOL (THE),INDEPENDENT,0,0,0,0,2,4,5,7,5,0,9,6,5,3,3,4,15
2019-20,NEW YORK,800000084723,310300996185,MANHATTAN STAR ACADEMY,INDEPENDENT,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
2019-20,NEW YORK,800000085683,310300996196,FUSION ACADEMY LINCOLN CENTER,INDEPENDENT,0,0,0,0,0,0,0,0,1,0,4,7,8,12,15,15,50
2019-20,NEW YORK,800000089048,310300996274,BILINGUAL BUDS,INDEPENDENT,19,0,10,13,10,3,5,5,4,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000090328,310300996335,BASIS INDEPENDENT MANHATTAN,INDEPENDENT,21,0,40,41,39,22,35,34,52,0,28,29,0,0,0,0,0
2019-20,NEW YORK,800000090470,310300996412,GENEVA SCHOOL OF MANHATTAN (THE),INDEPENDENT,25,24,33,29,25,30,24,21,20,0,20,13,0,0,0,0,0
2019-20,NEW YORK,800000091458,310300996487,TRIBECA PREPARATORY,INDEPENDENT,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000091459,310300996488,STAR PROGRAM (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047296,310300996728,BANK STREET COLLEGE OF EDUCATION,INDEPENDENT,38,0,54,55,54,40,41,41,39,0,32,43,0,0,0,0,0
2019-20,NEW YORK,800000047278,310300996744,CALHOUN SCHOOL (THE),INDEPENDENT,36,0,26,39,28,34,44,41,48,0,45,51,71,64,69,58,262
2019-20,NEW YORK,800000047279,310300996756,COLLEGIATE SCHOOL,INDEPENDENT,0,0,47,46,47,46,49,49,52,0,51,51,57,52,52,57,218
2019-20,NEW YORK,800000047280,310300996757,COLUMBIA GRAMMAR & PREP SCHOOL,INDEPENDENT,35,0,75,84,72,70,97,89,88,0,85,90,125,121,123,118,487
2019-20,NEW YORK,800000047268,310300996766,ETHICAL CULTURE-FIELDSTON SCHOOL,INDEPENDENT,38,0,72,67,68,65,68,63,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047289,310300996773,ANGLO-AMERICAN INTNTL SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,55,120
2019-20,NEW YORK,800000047292,310300996809,PROFESSIONAL CHILDRENS SCHOOL,INDEPENDENT,0,0,0,0,0,0,0,0,8,0,12,3,25,32,48,48,153
2019-20,NEW YORK,800000047272,310300996831,STEPHEN GAYNOR SCHOOL,INDEPENDENT,11,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047274,310300997126,ROBERT LOUIS STEVENSON SCHOOL,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,2,5,8,13,18,20,59
2019-20,NEW YORK,800000047275,310300997576,YORK PREP SCHOOL,INDEPENDENT,0,0,0,0,0,0,0,0,16,0,24,40,72,72,74,39,257
2019-20,NEW YORK,800000047520,310300997763,GATEWAY SCHOOL OF NY,INDEPENDENT,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047277,310300998078,STUDIO SCHOOL (THE),INDEPENDENT,7,0,5,13,12,7,10,7,11,0,5,8,0,0,0,0,0
2019-20,NEW YORK,800000047262,310300998084,METROPOLITAN MONTESSORI SCHOOL,INDEPENDENT,40,0,26,20,20,19,21,16,6,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047269,310300999133,PARKSIDE SCHOOL,INDEPENDENT,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047270,310300999404,DWIGHT SCHOOL (THE),INDEPENDENT,60,0,44,36,39,41,48,38,48,0,68,58,84,123,41,30,278
2019-20,NEW YORK,800000047271,310300999436,AICHHORN SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,45,9,1,1,56
2019-20,NEW YORK,800000047489,310300999647,SMITH SCHOOL (THE),INDEPENDENT,0,0,0,0,0,0,0,0,0,0,3,3,7,5,13,6,31
2019-20,NEW YORK,800000047244,310300999860,GREAT TOMORROWS USA SCHOOL,INDEPENDENT,3,0,1,0,4,3,1,4,3,0,7,2,2,1,4,0,7
2019-20,NEW YORK,800000056706,310300999956,SCHOOL AT COLUMBIA UNIVERSITY (THE),INDEPENDENT,0,0,48,64,60,62,60,60,60,0,45,51,0,0,0,0,0
2019-20,NEW YORK,800000057552,310300999993,WEST END DAY SCHOOL,INDEPENDENT,0,0,3,7,2,9,10,8,9,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047214,310400145213,ST ANN SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,56,0,20,18,18,18,21,14,21,0,15,16,0,0,0,0,0
2019-20,NEW YORK,800000047197,310400145294,MT CARMEL-HOLY ROSARY SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,15,0,12,13,16,15,18,16,13,0,29,24,0,0,0,0,0
2019-20,NEW YORK,800000047199,310400145387,OUR LADY QUEEN OF ANGELS SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,29,0,28,19,24,25,22,25,27,0,28,32,0,0,0,0,0
2019-20,NEW YORK,800000047180,310400145400,ST PAUL SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,60,0,18,21,17,14,14,14,18,0,11,15,0,0,0,0,0
2019-20,NEW YORK,800000047530,310400995515,REECE SCHOOL,INDEPENDENT,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
2019-20,NEW YORK,800000062972,310400995720,AGILE LEARNING CENTER,INDEPENDENT,0,0,0,0,1,1,2,3,1,0,2,6,4,0,0,0,4
2019-20,NEW YORK,800000047149,310400997324,ST BERNARD'S SCHOOL,INDEPENDENT,0,0,44,42,39,43,44,37,38,0,33,39,6,0,0,0,6
2019-20,NEW YORK,800000047160,310400999536,EAST HARLEM SCHOOL AT EXODUS HOUSE,INDEPENDENT,0,0,0,0,0,0,12,22,34,0,36,32,0,0,0,0,0
2019-20,NEW YORK,800000047088,310500145250,ST CHARLES BORROMEO SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,46,0,27,16,23,23,10,13,27,0,18,28,0,0,0,0,0
2019-20,NEW YORK,800000047093,310500145347,ST MARK THE EVANGELIST SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,12,0,19,21,18,18,18,27,19,0,20,19,0,0,0,0,0
2019-20,NEW YORK,800000047098,310500206847,YESHIVA UNIVERSITY HIGH SCHOOL,JEWISH,0,0,0,0,0,0,0,0,0,0,0,0,86,88,80,67,321
2019-20,NEW YORK,800000047043,310500808793,FELLOWSHIP OF LEARNING SCHOOL,CHRISTIAN FUNDAMENTALIST,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2019-20,NEW YORK,800000047045,310500809736,RIVERSIDE CHURCH WEEK DAY SCHOOL,CHRISTIAN FUNDAMENTALIST,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,NEW YORK,800000047318,310500855973,MT PLEASANT CHRISTIAN ACADEMY,BAPTIST,0,0,0,0,2,2,2,2,1,0,2,1,0,2,1,0,3
2019-20,NEW YORK,800000047029,310500998545,KING'S ACADEMY (THE),INDEPENDENT,5,0,2,6,6,3,2,3,3,0,3,3,1,1,0,0,2
2019-20,NEW YORK,800000046966,310600145266,ST ELIZABETH SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,77,0,20,16,27,28,21,34,21,20,30,18,0,0,0,0,0
2019-20,NEW YORK,800000046946,310600145279,GOOD SHEPHERD SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,66,0,24,23,19,24,25,25,31,0,29,30,0,0,0,0,0
2019-20,NEW YORK,800000046967,310600145306,INCARNATION SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,72,0,22,24,28,24,26,23,19,0,23,21,0,0,0,0,0
2019-20,NEW YORK,800000046953,310600145378,OUR LADY OF LOURDES SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,28,0,26,32,27,31,32,34,34,0,32,30,0,0,0,0,0
2019-20,NEW YORK,800000046954,310600145388,OUR LADY QUEEN OF MARTYRS SCHOOL,ROMAN CATHOLIC - ARCHDIOCESE OF NY,80,0,20,27,14,13,21,16,13,0,11,13,0,0,0,0,0
2019-20,NEW YORK,800000046958,310600226845,YESHIVA RABBI S R HIRSCH,JEWISH,19,0,31,18,25,26,28,24,25,0,21,29,12,15,16,12,55
2019-20,NEW YORK,800000046949,310600436469,NORTHEASTERN ACADEMY,SEVENTH-DAY ADVENTIST,0,0,0,0,0,0,0,0,0,0,0,0,9,9,11,30,59
2019-20,NEW YORK,800000046932,310600809016,MANHATTAN CHRISTIAN ACADEMY,CHRISTIAN FUNDAMENTALIST,14,0,24,26,21,17,19,24,34,0,37,21,0,0,0,0,0
